"V1"	"V2"	"V3"	"V4"	"V5"
0.01	0.001	0	0	0.174216027874564
0.02	0.016	0	0	1.39372822299652
0.03	0.034	0	0	1.97444831591173
0.04	0.029	0.001	0.0344827586206897	1.26306620209059
0.05	0.032	0.001	0.03125	1.11498257839721
0.06	0.035	0	0	1.01626016260163
0.07	0.048	0	0	1.19462419113987
0.08	0.057	0.002	0.0350877192982456	1.24128919860627
0.09	0.054	0	0	1.04529616724739
0.1	0.063	0	0	1.09756097560976
0.11	0.066	0.007	0.106060606060606	1.04529616724739
0.12	0.067	0.006	0.0895522388059701	0.972706155632985
0.13	0.081	0.001	0.0123456790123457	1.08549986598767
0.14	0.084	0.003	0.0357142857142857	1.04529616724739
0.15	0.087	0.004	0.0459770114942529	1.01045296167247
0.16	0.078	0.005	0.0641025641025641	0.849303135888502
0.17	0.103	0.003	0.029126213592233	1.05554416888707
0.18	0.093	0.007	0.0752688172043011	0.900116144018583
0.19	0.1	0.005	0.05	0.916926462497708
0.2	0.118	0.005	0.0423728813559322	1.02787456445993
0.21	0.123	0.015	0.121951219512195	1.02040816326531
0.22	0.135	0.015	0.111111111111111	1.06905289832119
0.23	0.139	0.02	0.143884892086331	1.05287077715498
0.24	0.149	0.009	0.0604026845637584	1.08159117305459
0.25	0.147	0.008	0.054421768707483	1.02439024390244
0.26	0.152	0.023	0.151315789473684	1.01849370142053
0.27	0.137	0.014	0.102189781021898	0.883985030326494
0.28	0.144	0.016	0.111111111111111	0.895968143354903
0.29	0.147	0.016	0.108843537414966	0.88309503784693
0.3	0.138	0.011	0.0797101449275362	0.801393728222997
0.31	0.2	0.025	0.125	1.12397437338429
0.32	0.15	0.019	0.126666666666667	0.816637630662021
0.33	0.186	0.023	0.123655913978495	0.981944884383909
0.34	0.207	0.027	0.130434782608696	1.06066816970691
0.35	0.189	0.021	0.111111111111111	0.940766550522648
0.36	0.185	0.015	0.0810810810810811	0.895276809910956
0.37	0.186	0.025	0.134408602150538	0.875788680666729
0.38	0.205	0.024	0.117073170731707	0.93984962406015
0.39	0.194	0.032	0.164948453608247	0.866613061735013
0.4	0.223	0.016	0.0717488789237668	0.971254355400697
0.41	0.274	0.036	0.131386861313869	1.16427296677148
0.42	0.242	0.029	0.119834710743802	1.00381616061059
0.43	0.196	0.016	0.0816326530612245	0.794100964265457
0.44	0.218	0.025	0.114678899082569	0.863161229014888
0.45	0.228	0.023	0.100877192982456	0.882694541231127
0.46	0.255	0.046	0.180392156862745	0.965762763217694
0.47	0.226	0.02	0.0884955752212389	0.837719623396842
0.48	0.233	0.024	0.103004291845494	0.845673635307782
0.49	0.246	0.034	0.138211382113821	0.87463556851312
0.5	0.273	0.029	0.106227106227106	0.951219512195122
0.51	0.292	0.045	0.154109589041096	0.997472159595545
0.52	0.251	0.034	0.135458167330677	0.840927365317609
0.53	0.256	0.032	0.125	0.841496285582802
0.54	0.266	0.035	0.131578947368421	0.858175248419151
0.55	0.311	0.05	0.160771704180064	0.985112448527083
0.56	0.295	0.062	0.210169491525424	0.917745146839223
0.57	0.313	0.048	0.153354632587859	0.956659942539275
0.58	0.269	0.051	0.189591078066914	0.808001922383756
0.59	0.296	0.022	0.0743243243243243	0.874032953404595
0.6	0.272	0.057	0.209558823529412	0.789779326364692
0.61	0.339	0.043	0.126843657817109	0.968184154909465
0.62	0.311	0.062	0.19935691318328	0.873890075306283
0.63	0.32	0.05	0.15625	0.884906808251756
0.64	0.31	0.036	0.116129032258065	0.843858885017422
0.65	0.303	0.036	0.118811881188119	0.812114714553739
0.66	0.348	0.058	0.166666666666667	0.918593601520431
0.67	0.314	0.087	0.277070063694268	0.816475115710645
0.68	0.33	0.059	0.178787878787879	0.845460135273622
0.69	0.332	0.042	0.126506024096386	0.838256829773267
0.7	0.338	0.05	0.14792899408284	0.841214534594325
0.71	0.409	0.097	0.237163814180929	1.00358247043235
0.72	0.343	0.049	0.142857142857143	0.829945799457995
0.73	0.391	0.077	0.19693094629156	0.933129683547325
0.74	0.425	0.101	0.237647058823529	1.00056502495527
0.75	0.42	0.072	0.171428571428571	0.975609756097561
0.76	0.411	0.066	0.160583941605839	0.942141940216395
0.77	0.4	0.075	0.1875	0.905018326621114
0.78	0.368	0.06	0.16304347826087	0.821942285356919
0.79	0.33	0.069	0.209090909090909	0.727737837957041
0.8	0.447	0.1	0.223713646532438	0.973432055749129
0.81	0.426	0.072	0.169014084507042	0.916247257710672
0.82	0.514	0.079	0.153696498054475	1.09203705277471
0.83	0.444	0.07	0.157657657657658	0.931950799714538
0.84	0.411	0.081	0.197080291970803	0.852414136386262
0.85	0.378	0.067	0.177248677248677	0.774748923959828
0.86	0.445	0.082	0.184269662921348	0.901466655862572
0.87	0.498	0.099	0.198795180722892	0.997236573350955
0.88	0.379	0.069	0.182058047493404	0.750316756414317
0.89	0.44	0.108	0.245454545454545	0.861292722076498
0.9	0.419	0.076	0.181384248210024	0.81107239643825
0.91	0.474	0.103	0.217299578059072	0.907454914423556
0.92	0.459	0.107	0.233115468409586	0.869186486895925
0.93	0.43	0.095	0.22093023255814	0.805514967592072
0.94	0.475	0.088	0.185263157894737	0.88034694936615
0.95	0.469	0.106	0.226012793176972	0.86007702182285
0.96	0.451	0.075	0.16629711751663	0.818452380952381
0.97	0.474	0.108	0.227848101265823	0.851323682603542
0.98	0.5	0.119	0.238	0.888857285074309
0.99	0.464	0.102	0.219827586206897	0.816527645795939
1	0.492	0.097	0.197154471544715	0.857142857142857
1.01	0.454	0.101	0.222466960352423	0.783109669852003
1.02	0.511	0.107	0.209393346379648	0.872788139646102
1.03	0.518	0.103	0.198841698841699	0.876154392611887
1.04	0.49	0.079	0.161224489795918	0.820825515947467
1.05	0.5	0.148	0.296	0.829600132736021
1.06	0.466	0.1	0.214592274678112	0.765893103674972
1.07	0.449	0.075	0.167037861915367	0.731056042202612
1.08	0.556	0.107	0.192446043165468	0.896889921280165
1.09	0.52	0.119	0.228846153846154	0.831122334814436
1.1	0.491	0.127	0.258655804480652	0.777636997149192
1.11	0.513	0.104	0.202729044834308	0.805160561258122
1.12	0.508	0.105	0.206692913385827	0.79019412643106
1.13	0.471	0.109	0.231422505307856	0.726157071937344
1.14	0.538	0.104	0.193308550185874	0.822177394706278
1.15	0.558	0.124	0.222222222222222	0.845326465687017
1.16	0.575	0.133	0.231304347826087	0.863570827826505
1.17	0.545	0.124	0.227522935779817	0.811519104202031
1.18	0.558	0.108	0.193548387096774	0.823835114864466
1.19	0.501	0.113	0.225548902195609	0.733464117354259
1.2	0.512	0.13	0.25390625	0.743321718931475
1.21	0.528	0.112	0.212121212121212	0.760215394361736
1.22	0.601	0.158	0.262895174708819	0.858228137316502
1.23	0.612	0.127	0.207516339869281	0.866830967961248
1.24	0.594	0.13	0.218855218855219	0.834550972237833
1.25	0.609	0.121	0.198686371100164	0.848780487804878
1.26	0.549	0.113	0.205828779599271	0.759084121453459
1.27	0.644	0.141	0.218944099378882	0.883426157096217
1.28	0.624	0.159	0.254807692307692	0.849303135888502
1.29	0.622	0.159	0.255627009646302	0.840018366961078
1.3	0.622	0.162	0.260450160771704	0.833556687215224
1.31	0.63	0.17	0.26984126984127	0.837832805808974
1.32	0.633	0.129	0.203791469194313	0.835445042762116
1.33	0.554	0.124	0.223826714801444	0.725681800319614
1.34	0.622	0.161	0.258842443729904	0.80867439804462
1.35	0.692	0.156	0.225433526011561	0.893018453994064
1.36	0.59	0.17	0.288135593220339	0.755790120926419
1.37	0.636	0.139	0.218553459119497	0.808769297286299
1.38	0.662	0.163	0.246223564954683	0.83573195980407
1.39	0.607	0.123	0.202635914332784	0.760785100142882
1.4	0.618	0.171	0.276699029126214	0.769039323046292
1.41	0.711	0.226	0.317862165963432	0.878493587367485
1.42	0.604	0.146	0.241721854304636	0.741031555184767
1.43	0.639	0.135	0.211267605633803	0.778489802880047
1.44	0.633	0.137	0.216429699842022	0.76582462253194
1.45	0.614	0.183	0.298045602605863	0.737714766310225
1.46	0.644	0.152	0.236024844720497	0.768459739391914
1.47	0.654	0.17	0.259938837920489	0.775083552584797
