"V1"	"V2"	"V3"	"V4"	"V5"
0.01	0.008	0	0	1.39372822299652
0.02	0.004	0	0	0.348432055749129
0.03	0.02	0	0	1.16144018583043
0.04	0.019	0	0	0.827526132404181
0.05	0.026	0	0	0.905923344947735
0.06	0.027	0.001	0.037037037037037	0.78397212543554
0.07	0.038	0	0	0.945744151319064
0.08	0.077	0.005	0.0649350649350649	1.67682926829268
0.09	0.048	0.001	0.0208333333333333	0.929152148664344
0.1	0.038	0	0	0.662020905923345
0.11	0.057	0.001	0.0175438596491228	0.902755780804561
0.12	0.066	0.011	0.166666666666667	0.958188153310105
0.13	0.037	0.001	0.027027027027027	0.495845617796837
0.14	0.065	0.002	0.0307692307692308	0.808860129417621
0.15	0.085	0.001	0.0117647058823529	0.987224157955865
0.16	0.115	0.001	0.00869565217391304	1.25217770034843
0.17	0.089	0	0	0.912072145931543
0.18	0.124	0.006	0.0483870967741935	1.20015485869144
0.19	0.081	0.002	0.0246913580246914	0.742710434623143
0.2	0.11	0.006	0.0545454545454545	0.958188153310104
0.21	0.109	0.004	0.036697247706422	0.904264144682263
0.22	0.1	0.012	0.12	0.791891035793475
0.23	0.097	0.002	0.0206185567010309	0.734737161036207
0.24	0.115	0.003	0.0260869565217391	0.834785133565621
0.25	0.137	0.005	0.0364963503649635	0.954703832752613
0.26	0.119	0.007	0.0588235294117647	0.797373358348968
0.27	0.154	0.01	0.0649350649350649	0.993676603432701
0.28	0.177	0.01	0.0564971751412429	1.10129417620707
0.29	0.143	0.006	0.041958041958042	0.859065240898714
0.3	0.169	0.005	0.029585798816568	0.981416957026713
0.31	0.162	0.007	0.0432098765432099	0.910419242441272
0.32	0.123	0.005	0.040650406504065	0.669642857142857
0.33	0.142	0.013	0.0915492957746479	0.749656847217823
0.34	0.156	0.011	0.0705128205128205	0.79934412789506
0.35	0.157	0.007	0.0445859872611465	0.781483325037332
0.36	0.163	0.005	0.0306748466257669	0.788811459543167
0.37	0.182	0.018	0.0989010989010989	0.856954515491101
0.38	0.174	0.027	0.155172413793103	0.797726022373006
0.39	0.191	0.012	0.06282722513089	0.853211828821585
0.4	0.215	0.021	0.0976744186046512	0.936411149825784
0.41	0.221	0.016	0.0723981900452489	0.939066881958018
0.42	0.174	0.008	0.0459770114942529	0.721752115480338
0.43	0.22	0.013	0.0590909090909091	0.891337817032655
0.44	0.192	0.019	0.0989583333333333	0.760215394361736
0.45	0.222	0.022	0.0990990990990991	0.859465737514518
0.46	0.286	0.005	0.0174825174825175	1.08316921678534
0.47	0.274	0.007	0.0255474452554745	1.01564237526874
0.48	0.247	0.02	0.0809716599190283	0.896486643437863
0.49	0.225	0.008	0.0355555555555556	0.799971556566878
0.5	0.203	0.012	0.0591133004926108	0.707317073170732
0.51	0.228	0.031	0.135964912280702	0.7788481246157
0.52	0.226	0.009	0.0398230088495575	0.757169659608684
0.53	0.304	0.019	0.0625	0.999276839129577
0.54	0.217	0.01	0.0460829493087558	0.700090334236676
0.55	0.292	0.019	0.0650684931506849	0.924928729806778
0.56	0.199	0.013	0.0653266331658292	0.619089099054256
0.57	0.284	0.024	0.0845070422535211	0.868023717831163
0.58	0.221	0.011	0.0497737556561086	0.663823140694461
0.59	0.238	0.016	0.0672268907563025	0.702769739561802
0.6	0.247	0.013	0.0526315789473684	0.71718931475029
0.61	0.223	0.003	0.0134529147982063	0.636888101902096
0.62	0.25	0.012	0.048	0.702483983365179
0.63	0.274	0.025	0.0912408759124088	0.757701454565566
0.64	0.316	0.037	0.117088607594937	0.860191637630662
0.65	0.286	0.025	0.0874125874125874	0.766550522648084
0.66	0.317	0.034	0.107255520504732	0.836764861155105
0.67	0.236	0.018	0.076271186440678	0.613656456393988
0.68	0.303	0.014	0.0462046204620462	0.77628612420578
0.69	0.29	0.042	0.144827586206897	0.73221229106701
0.7	0.264	0.014	0.053030303030303	0.657043305126929
0.71	0.334	0.037	0.110778443113772	0.819551455071895
0.72	0.333	0.046	0.138138138138138	0.805749128919861
0.73	0.334	0.027	0.0808383233532934	0.797097990549377
0.74	0.322	0.027	0.0838509316770186	0.758075148319051
0.75	0.254	0.039	0.153543307086614	0.590011614401858
0.76	0.278	0.035	0.12589928057554	0.637263891435907
0.77	0.25	0.012	0.048	0.565636454138196
0.78	0.324	0.029	0.0895061728395062	0.723666577325114
0.79	0.337	0.015	0.0445103857566766	0.743174701186433
0.8	0.254	0.031	0.122047244094488	0.553135888501742
0.81	0.312	0.037	0.118589743589744	0.671054329590915
0.82	0.344	0.039	0.113372093023256	0.730857482790856
0.83	0.292	0.035	0.11986301369863	0.612904579992444
0.84	0.304	0.034	0.111842105263158	0.630496100879376
0.85	0.323	0.042	0.130030959752322	0.662020905923345
0.86	0.329	0.028	0.0851063829787234	0.666477595008508
0.87	0.364	0.04	0.10989010989011	0.728903840762546
0.88	0.332	0.046	0.13855421686747	0.657269559708584
0.89	0.319	0.027	0.0846394984326019	0.624437223505461
0.9	0.343	0.023	0.0670553935860058	0.663956639566396
0.91	0.336	0.022	0.0654761904761905	0.643259179844546
0.92	0.368	0.03	0.0815217391304348	0.696864111498258
0.93	0.327	0.042	0.128440366972477	0.612566033494436
0.94	0.317	0.031	0.0977917981072555	0.587515753576989
0.95	0.396	0.048	0.121212121212121	0.726205758298184
0.96	0.377	0.045	0.119363395225464	0.684160859465737
0.97	0.423	0.035	0.08274231678487	0.759725564855059
0.98	0.399	0.029	0.0726817042606516	0.709308113489298
0.99	0.387	0.041	0.10594315245478	0.681026290782388
1	0.335	0.03	0.0895522388059701	0.583623693379791
1.01	0.376	0.043	0.11436170212766	0.648566598820161
