"V1"	"V2"	"V3"	"V4"	"V5"
0.01	0.007	0	0	1.21951219512195
0.02	0.022	0.004	0.181818181818182	1.91637630662021
0.03	0.005	0.002	0.4	0.290360046457607
0.04	0.017	0.003	0.176470588235294	0.740418118466899
0.05	0.027	0.003	0.111111111111111	0.940766550522648
0.06	0.016	0	0	0.464576074332172
0.07	0.053	0.009	0.169811320754717	1.31906421105027
0.08	0.062	0.011	0.17741935483871	1.35017421602787
0.09	0.061	0.007	0.114754098360656	1.18079752226094
0.1	0.061	0.015	0.245901639344262	1.06271777003484
0.11	0.07	0.024	0.342857142857143	1.10864745011086
0.12	0.063	0.027	0.428571428571429	0.914634146341463
0.13	0.069	0.016	0.231884057971014	0.924685071026534
0.14	0.078	0.005	0.0641025641025641	0.970632155301145
0.15	0.074	0.016	0.216216216216216	0.859465737514518
0.16	0.095	0.033	0.347368421052632	1.03440766550523
0.17	0.091	0.031	0.340659340659341	0.932568149210904
0.18	0.067	0.024	0.358208955223881	0.64847077042199
0.19	0.097	0.033	0.34020618556701	0.889418668622776
0.2	0.109	0.05	0.458715596330275	0.949477351916376
0.21	0.092	0.039	0.423913043478261	0.76323212211714
0.22	0.14	0.071	0.507142857142857	1.10864745011086
0.23	0.139	0.068	0.489208633093525	1.05287077715498
0.24	0.106	0.046	0.433962264150943	0.76945412311266
0.25	0.112	0.057	0.508928571428571	0.780487804878049
0.26	0.133	0.07	0.526315789473684	0.891181988742964
0.27	0.126	0.058	0.46031746031746	0.813008130081301
0.28	0.133	0.065	0.488721804511278	0.827526132404181
0.29	0.124	0.077	0.620967741935484	0.744923705394689
0.3	0.101	0.041	0.405940594059406	0.586527293844367
0.31	0.121	0.059	0.487603305785124	0.680004495897494
0.32	0.126	0.06	0.476190476190476	0.685975609756098
0.33	0.179	0.101	0.564245810055866	0.944989969380213
0.34	0.169	0.103	0.609467455621302	0.865956138552982
0.35	0.161	0.085	0.527950310559006	0.801393728222996
0.36	0.158	0.07	0.443037974683544	0.764614789005033
0.37	0.166	0.078	0.469879518072289	0.781617854788586
0.38	0.202	0.117	0.579207920792079	0.926095727122685
0.39	0.175	0.098	0.56	0.781738586616635
0.4	0.181	0.089	0.49171270718232	0.788327526132404
0.41	0.165	0.078	0.472727272727273	0.701113282909832
0.42	0.152	0.09	0.592105263157895	0.630496100879376
0.43	0.215	0.135	0.627906976744186	0.871080139372822
0.44	0.191	0.104	0.544502617801047	0.756255939182768
0.45	0.199	0.131	0.658291457286432	0.770421989934185
0.46	0.163	0.106	0.650306748466258	0.617330707468565
0.47	0.179	0.11	0.614525139664804	0.663503595522277
0.48	0.196	0.109	0.556122448979592	0.711382113821138
0.49	0.23	0.138	0.6	0.817748702268364
0.5	0.214	0.12	0.560747663551402	0.745644599303136
0.51	0.267	0.197	0.737827715355805	0.912072145931543
0.52	0.202	0.099	0.49009900990099	0.676762262128116
0.53	0.261	0.171	0.655172413793103	0.857931759910591
0.54	0.206	0.127	0.616504854368932	0.664601884114079
0.55	0.244	0.179	0.733606557377049	0.772885650934431
0.56	0.234	0.154	0.658119658119658	0.727974116475859
0.57	0.282	0.185	0.656028368794326	0.861910874747845
0.58	0.254	0.172	0.677165354330709	0.762946053105851
0.59	0.25	0.175	0.7	0.73820350794307
0.6	0.255	0.186	0.729411764705882	0.740418118466899
0.61	0.25	0.167	0.668	0.714000114240018
0.62	0.234	0.166	0.709401709401709	0.657525008429808
0.63	0.219	0.164	0.748858447488584	0.605608096897295
0.64	0.247	0.175	0.708502024291498	0.672364982578397
0.65	0.278	0.199	0.715827338129496	0.745108549986599
0.66	0.215	0.154	0.716279069767442	0.567521908985324
0.67	0.255	0.183	0.717647058823529	0.663061001612148
0.68	0.255	0.206	0.807843137254902	0.653310104529617
0.69	0.243	0.172	0.707818930041152	0.61354340251477
0.7	0.235	0.16	0.680851063829787	0.584868093578895
0.71	0.228	0.153	0.671052631578947	0.559454286695784
0.72	0.299	0.207	0.692307692307692	0.723480449090205
0.73	0.272	0.217	0.797794117647059	0.649133692902487
0.74	0.249	0.182	0.730923694779116	0.58621339109144
0.75	0.256	0.208	0.8125	0.59465737514518
0.76	0.288	0.223	0.774305555555556	0.66018705299835
0.77	0.306	0.217	0.709150326797386	0.692339019865152
0.78	0.314	0.24	0.764331210191083	0.701331189136067
0.79	0.335	0.252	0.752238805970149	0.738764168835178
0.8	0.301	0.235	0.780730897009967	0.655487804878049
0.81	0.258	0.192	0.744186046511628	0.554910311007872
0.82	0.305	0.223	0.731147540983607	0.647998640265148
0.83	0.28	0.198	0.707142857142857	0.587716720540699
