"V1"	"V2"	"V3"	"V4"	"V5"
0.01	0.005	0.002	0.4	0.871080139372822
0.02	0.009	0	0	0.78397212543554
0.03	0.032	0	0	1.85830429732869
0.04	0.028	0	0	1.21951219512195
0.05	0.038	0.004	0.105263157894737	1.32404181184669
0.06	0.028	0.002	0.0714285714285714	0.813008130081301
0.07	0.042	0	0	1.04529616724739
0.08	0.047	0	0	1.02351916376307
0.09	0.056	0.003	0.0535714285714286	1.0840108401084
0.1	0.047	0.001	0.0212765957446809	0.818815331010453
0.11	0.079	0.005	0.0632911392405063	1.25118783655369
0.12	0.053	0.002	0.0377358490566038	0.76945412311266
0.13	0.074	0	0	0.991691235593675
0.14	0.05	0.002	0.04	0.622200099552016
0.15	0.085	0.002	0.0235294117647059	0.987224157955865
0.16	0.083	0.001	0.0120481927710843	0.903745644599303
0.17	0.11	0.006	0.0545454545454545	1.12728018036483
0.18	0.099	0.006	0.0606060606060606	0.958188153310104
0.19	0.086	0.003	0.0348837209302326	0.788556757748029
0.2	0.097	0.001	0.0103092783505155	0.844947735191638
0.21	0.115	0.001	0.00869565217391304	0.954040152646424
0.22	0.133	0.01	0.075187969924812	1.05321507760532
0.23	0.128	0.006	0.046875	0.969550068171489
0.24	0.133	0.006	0.0451127819548872	0.965447154471545
0.25	0.116	0.004	0.0344827586206897	0.808362369337979
0.26	0.121	0.01	0.0826446280991736	0.810774591262396
0.27	0.136	0.015	0.110294117647059	0.877532584849658
0.28	0.186	0.016	0.0860215053763441	1.15729218516675
0.29	0.159	0.015	0.0943396226415094	0.955184428691577
0.3	0.171	0.014	0.0818713450292398	0.993031358885017
0.31	0.167	0.013	0.0778443113772455	0.93851860177588
0.32	0.183	0.025	0.136612021857924	0.996297909407665
0.33	0.141	0.017	0.120567375886525	0.744377573645866
0.34	0.154	0.008	0.051948051948052	0.78909612625538
0.35	0.183	0.018	0.0983606557377049	0.910900945744151
0.36	0.194	0.018	0.0927835051546392	0.938830816879597
0.37	0.177	0.012	0.0677966101694915	0.833411809021565
0.38	0.21	0.027	0.128571428571429	0.962772785622593
0.39	0.21	0.024	0.114285714285714	0.938086303939962
0.4	0.22	0.028	0.127272727272727	0.958188153310104
0.41	0.204	0.037	0.181372549019608	0.866830967961247
0.42	0.23	0.035	0.152173913043478	0.954040152646424
0.43	0.246	0.024	0.0975609756097561	0.996677740863787
0.44	0.222	0.026	0.117117117117117	0.878999049730757
0.45	0.233	0.022	0.0944206008583691	0.902051877661634
0.46	0.245	0.034	0.138775510204082	0.927889713679745
